Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 270664.182158, 274446.434856, 3782.252698, 516383735064.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 274446.434856, 284440.115346, 9993.680490, 516471498272.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 284440.115346, 289432.300271, 4992.184925, 516654790720.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 289432.300271, 296240.645891, 6808.345620, 516738729520.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 296240.645891, 298913.546267, 2672.900376, 516842286016.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, traffic, 298913.546267, 518400.000000, 219486.453733, 516976207216.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, directUserAmount, 0.000000, 518400.000000, 518400.000000, 0.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, indirectUserAmount, 0.000000, 518400.000000, 518400.000000, 0.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, bandwidth, 0.000000, 518400.000000, 518400.000000, 12500000.000000
Variable, GRIDKA-IN2P3-LHCOPN-001, latency, 0.000000, 518400.000000, 518400.000000, 0.000000
Variable, CNAF-GRIDKA-LHCOPN-001, traffic, 0.000000, 2257.634326, 2257.634326, 0.000000
Variable, CNAF-GRIDKA-LHCOPN-001, traffic, 2257.634326, 2496.250714, 238.616388, 2935134464.000000
Variable, CNAF-GRIDKA-LHCOPN-001, traffic, 2496.250714, 4571.012381, 2074.761667, 9316249856.000000
Variable, CNAF-GRIDKA-LHCOPN-001, traffic, 4571.012381, 4727.595264, 156.582883, 9555435536.000000
Variable, CNAF-GRIDKA-LHCOPN-001, traffic, 4727.595264, 4880.050250, 152.454986, 9639846888.000000
Variable, CNAF-GRIDKA-LHCOPN-001, traffic, 4880.050250, 12236.636534, 7356.586284, 9703600168.000000
Variable, CNAF-GRIDKA-LHCOPN-001, traffic, 12236.636534, 14045.292439, 1808.655905, 9771807888.000000
Variable, CNAF-GRIDKA-LHCOPN-001, traffic, 14045.292439, 18682.948572, 4637.656133, 12706942352.000000
Variable, CNAF-GRIDKA-LHCOPN-001, traffic, 18682.948572, 20459.384829, 1776.436257, 39793943952.000000
Variable, CNAF-GRIDKA-LHCOPN-001, traffic, 20459.384829, 20617.824233, 158.439404, 99694601616.000000
Variable, CNAF-GRIDKA-LHCOPN-001, traffic, 20617.824233, 21071.483069, 453.658836, 160232514960.000000
Variable, CNAF-GRIDKA-LHCOPN-001, traffic, 21071.483069, 22584.885201, 1513.402132, 191825585552.000000
Variable, CNAF-GRIDKA-LHCOPN-001, traffic, 22584.885201, 36430.232635, 13845.347434, 225574182288.000000
Variable, CNAF-GRIDKA-LHCOPN-001, traffic, 36430.232635, 37992.093851, 1561.861216, 225648137208.000000
Variable, CNAF-GRIDKA-LHCOPN-001, traffic, 37992.093851, 38567.805888, 575.712037, 225737480080.000000
Variable, CNAF-GRIDKA-LHCOPN-001, traffic, 38567.805888, 39805.663582, 1237.857694, 225802221156.000000
Variable, CNAF-GRIDKA-LHCOPN-001, traffic, 39805.663582, 41322.829745, 1517.166163, 225867098596.000000
Variable, CNAF-GRIDKA-LHCOPN-001, traffic, 41322.829745, 44603.384337, 3280.554592, 241675604452.000000
Variable, CNAF-GRIDKA-LHCOPN-001, traffic, 44603.384337, 45238.122679, 634.738342, 241850606660.000000
Variable, CNAF-GRIDKA-LHCOPN-001, traffic, 45238.122679, 50094.625160, 4856.502481, 241932361924.000000
